,tweet_id,favorites,retweets
1423,772117678702071809,4121,832
1424,772152991789019136,4139,1281
1425,772193107915964416,6593,1576
1426,772581559778025472,7128,1940
1427,772615324260794368,0,3846
1428,772826264096874500,8773,2640
1429,772877495989305348,9457,4433
1430,773191612633579521,11000,4670
1431,773247561583001600,10303,3643
1432,773308824254029826,25566,8522
1433,773547596996571136,24301,7034
1434,773670353721753600,5880,1473
1435,773704687002451968,7243,1853
1436,773922284943896577,7038,1965
1437,773985732834758656,11804,4419
1438,774314403806253056,23955,6372
1439,774639387460112384,7415,1981
1440,774757898236878852,9386,2003
1441,775085132600442880,17125,5399
1442,775364825476165632,8208,3410
1443,775729183532220416,14228,5233
1444,775733305207554048,15268,4561
1445,775842724423557120,12908,3058
1446,775898661951791106,0,17374
1447,776088319444877312,2020,175
1448,776113305656188928,12962,4974
1449,776201521193218049,10572,2868
1450,776218204058357768,33013,18205
1451,776477788987613185,9786,3203
1452,776813020089548800,5384,1382
1453,776819012571455488,0,15629
1454,777189768882946048,15764,4934
1455,777621514455814149,9652,2846
1456,777641927919427584,0,4874
1457,777684233540206592,12385,3353
1458,777885040357281792,7003,1866
1459,778027034220126208,7238,1851
1460,778039087836069888,9348,3010
1461,778286810187399168,11456,3775
1462,778383385161035776,6463,1257
1463,778396591732486144,0,13980
1464,778408200802557953,15022,4955
1465,778624900596654080,5133,1152
1466,778650543019483137,6380,1702
1467,778748913645780993,7622,1530
1468,778990705243029504,22122,8318
1469,779056095788752897,16344,5157
1470,779123168116150273,13049,4160
1471,779377524342161408,9738,3550
1472,779834332596887552,21028,8086
1473,780192070812196864,9618,2550
1474,780459368902959104,5827,1211
1475,780476555013349377,0,135
1476,780496263422808064,0,4270
1477,780543529827336192,6968,1990
1478,780601303617732608,13371,3783
1479,780800785462489090,6086,1478
1480,780858289093574656,7948,2283
1481,780931614150983680,23931,8411
1482,781163403222056960,10788,3111
1483,781251288990355457,9340,2405
1484,781524693396357120,22943,6322
1485,781661882474196992,11522,3091
1486,781955203444699136,12258,3851
1487,782021823840026624,0,7151
1488,782305867769217024,18436,6365
1489,782598640137187329,8615,2154
1490,782722598790725632,19078,6152
1491,782747134529531904,8238,1581
1492,782969140009107456,26695,8403
1493,783085703974514689,9004,2525
1494,783334639985389568,32326,13398
1495,783347506784731136,0,6443
1496,783391753726550016,18699,6331
1497,783466772167098368,9384,2573
1498,783695101801398276,11544,3679
1499,783821107061198850,8137,2243
1500,783839966405230592,33330,12438
1501,784431430411685888,6278,1470
1502,784517518371221505,9938,2916
1503,784826020293709826,11208,3675
1504,785170936622350336,13379,5567
1505,785264754247995392,8047,1882
1506,785533386513321988,10087,2301
1507,785639753186217984,8627,2533
1508,785872687017132033,7403,2097
1509,785927819176054784,12575,3597
1510,786036967502913536,0,8086
1511,786233965241827333,16999,5482
1512,786363235746385920,12067,4013
1513,786595970293370880,10403,3546
1514,786664955043049472,11843,2956
1515,786709082849828864,20100,6966
1516,786963064373534720,29417,9201
1517,787322443945877504,8637,2001
1518,787397959788929025,11997,3244
1519,787717603741622272,11312,3193
1520,787810552592695296,9624,3493
1521,788039637453406209,6797,1515
1522,788070120937619456,0,3904
1523,788150585577050112,6813,1491
1524,788178268662984705,8018,2450
1525,788412144018661376,16981,6042
